Timestamp,PPG_Forehead,PPG_Earlobe,PPG_Finger
0.0138707999999999,0.185546875,0.185546875,0.185546875
0.0203102999999998,0.185546875,0.185546875,0.185546875
0.0377561000000002,0.185546875,0.185546875,0.185546875
0.0449858000000001,0.185546875,0.185546875,0.185546875
0.0517595000000002,0.185546875,0.185546875,0.185546875
0.0549078000000001,0.185546875,0.185546875,0.185546875
0.0621605999999999,148.5595703125,85.3369140625,82.7978515625
0.0687194999999998,-13.1103515625,137.6318359375,-56.4501953125
0.0700620000000001,-13.2568359375,137.3876953125,-61.7236328125
0.0710907000000001,-13.7939453125,137.0458984375,-62.5537109375
0.0721243999999999,-13.5009765625,138.0224609375,-49.6142578125
0.0731461000000002,-13.8916015625,139.5849609375,-24.5166015625
0.0741586999999999,-13.2080078125,140.1708984375,-2.6416015625
0.0751607999999999,-14.1357421875,141.0498046875,8.7841796875
0.0761637999999998,-14.6728515625,140.3662109375,8.6865234375
0.0785746000000001,-16.0400390625,140.4150390625,2.5341796875
0.0796093999999998,-17.1142578125,139.7802734375,-10.2099609375
0.0806045000000002,-17.8466796875,139.4384765625,-22.7587890625
0.0815849000000002,-16.6748046875,138.9990234375,-31.0595703125
0.0826085000000001,-14.8193359375,139.2431640625,-32.5244140625
0.0835987,-14.4775390625,138.7548828125,-30.3759765625
0.0846029000000001,-14.2333984375,138.7060546875,-28.3740234375
0.0856102000000001,-13.8427734375,138.6572265625,-28.3740234375
0.0866208999999998,-13.7451171875,138.9501953125,-30.9619140625
0.0876803000000002,-14.1357421875,138.0712890625,-34.8193359375
0.0886821000000002,-13.6962890625,137.2412109375,-40.4833984375
0.0896705999999998,-13.1103515625,136.7529296875,-45.8544921875
0.0906709999999999,-13.3056640625,136.2646484375,-51.6162109375
0.0917644000000002,-12.5732421875,135.3857421875,-58.1103515625
0.0928889000000002,-13.3544921875,135.4833984375,-63.4326171875
0.0951586,-14.0869140625,135.1416015625,-63.2861328125
0.0961338,-14.7216796875,136.2158203125,-46.6845703125
0.0990430999999998,-15.4052734375,138.2177734375,-19.5849609375
0.100154,-16.8701171875,138.6083984375,4.3408203125
0.1011202,-17.9931640625,138.8037109375,15.4248046875
0.1020757,-18.8720703125,138.9501953125,15.8642578125
0.1030513,-19.4580078125,137.9248046875,8.5888671875
0.1040077,-19.1162109375,137.9736328125,-3.2275390625
0.1049512,-19.2138671875,137.1923828125,-14.8486328125
0.1059192,-16.6748046875,137.0947265625,-23.0517578125
0.1069271,-13.7939453125,137.0458984375,-25.7861328125
0.1082866,-12.3291015625,136.9482421875,-24.7119140625
0.1100954,-12.0361328125,137.6318359375,-22.9541015625
