Timestamp,PPG_Forehead,PPG_Earlobe,PPG_Finger
0.0072747999999998,0.185546875,0.185546875,0.185546875
0.0111205000000001,0.185546875,0.185546875,0.185546875
0.0378368,0.185546875,0.185546875,0.185546875
0.0413450000000002,0.185546875,0.185546875,0.185546875
0.0458706000000002,0.185546875,0.185546875,0.185546875
0.0499459,0.185546875,0.185546875,0.185546875
0.0512374000000002,152.5732421875,97.3974609375,82.8466796875
0.052454,157.4072265625,-96.6552734375,18.1787109375
0.0559774000000002,-158.4423828125,-95.8740234375,19.4970703125
0.0570153000000002,-155.3662109375,-95.4833984375,20.7666015625
0.0580905,-152.8759765625,-95.1416015625,20.8642578125
0.0593773,-151.0693359375,-95.5810546875,19.1064453125
0.0611454,-148.7255859375,-95.2392578125,15.8837890625
0.0622579999999999,-147.4072265625,-95.0927734375,12.4169921875
0.0637517000000001,-146.4794921875,-94.7998046875,7.8759765625
0.0651630999999999,-145.9423828125,-95.1904296875,4.8486328125
0.0664088,-145.1123046875,-94.7998046875,1.8212890625
0.0677658999999999,-144.6728515625,-95.7275390625,-0.3271484375
0.0688164000000002,-144.6240234375,-96.4599609375,-2.2802734375
0.0713216000000001,-143.9404296875,-96.0693359375,-3.7939453125
0.0727465999999999,-142.9638671875,-96.2158203125,-5.4052734375
0.0738257999999998,-142.4267578125,-96.1181640625,-7.3095703125
0.0756020999999998,-142.3291015625,-96.2158203125,-7.6513671875
0.0767704,-141.8896484375,-96.3623046875,-9.8974609375
0.0786750999999999,-141.6455078125,-97.0947265625,-12.0458984375
0.0798163999999999,-141.6943359375,-96.8017578125,-14.1943359375
0.0812536000000001,-141.4990234375,-97.5341796875,-17.5146484375
0.0826673000000002,-141.6455078125,-96.4599609375,-21.0791015625
0.0838784000000001,-141.4990234375,-97.1435546875,-23.8134765625
0.0857355000000002,-142.1337890625,-96.4111328125,-27.5732421875
0.0872613000000002,-141.8408203125,-96.8505859375,-28.2568359375
0.0889144000000002,-142.0849609375,-96.0693359375,-7.7001953125
0.0902609000000001,-141.7431640625,-95.7275390625,19.4970703125
0.0915035,-142.0361328125,-93.8232421875,32.5341796875
0.0930667000000001,-142.1337890625,-92.0654296875,37.9052734375
0.0940781999999998,-142.1826171875,-90.0634765625,36.8798828125
0.0957237000000002,-142.5244140625,-89.0869140625,33.0224609375
0.0968531000000001,-142.4267578125,-88.1591796875,30.3369140625
0.0978389000000002,-142.9150390625,-87.9150390625,27.4072265625
0.0988674999999999,-142.5244140625,-87.0849609375,23.6962890625
0.0998559999999999,-142.5244140625,-87.2314453125,19.6435546875
0.100855,-139.7412109375,-87.3291015625,20.6689453125
0.1025091,-138.7646484375,-87.4755859375,23.3056640625
0.1037011,-137.3486328125,-87.6220703125,23.9892578125
0.1050683,-137.2509765625,-87.3779296875,23.5009765625
0.1065979,-137.5927734375,-88.4521484375,20.9619140625
0.1075944,-137.2509765625,-88.4521484375,17.3486328125
0.1089354,-137.1533203125,-89.4775390625,14.4677734375
0.1099772,-137.2021484375,-90.5029296875,10.2685546875
0.1110007,-137.4462890625,-91.2353515625,7.2412109375
0.1119209,-136.8115234375,-92.3583984375,3.8232421875
0.112839,-136.4697265625,-92.8955078125,1.7236328125
0.1137723,-136.3232421875,-93.3349609375,-0.3271484375
0.114714,-136.6650390625,-94.4580078125,-2.3291015625
0.1156615,-136.4697265625,-95.4345703125,-4.1845703125
0.1166019,-136.9091796875,-95.5322265625,-5.7958984375
0.1175216,-136.9091796875,-96.3134765625,-7.2607421875
0.1184484,-137.3974609375,-97.3876953125,-9.4580078125
0.119374,-137.4462890625,-97.5341796875,-12.2412109375
0.120375,-137.0068359375,-98.7548828125,-14.8291015625
0.1212974,-137.9833984375,-98.8037109375,-18.1005859375
0.1222334,-137.8857421875,-99.7314453125,-21.9091796875
0.1231508,-137.9345703125,-100.3173828125,-24.7412109375
0.124067,-138.5205078125,-101.3427734375,-28.0615234375
0.1250473,-139.0087890625,-102.3681640625,-25.3759765625
0.1259884,-138.8623046875,-103.1494140625,6.1669921875
0.1269206,-139.0576171875,-103.5888671875,28.6279296875
0.1278598,-139.5458984375,-102.5146484375,39.4189453125
0.1287887,-140.0341796875,-102.3681640625,42.2509765625
0.1297131,-140.2294921875,-101.1962890625,40.5419921875
0.1306592,-140.7177734375,-101.0986328125,38.6865234375
0.1315918,-140.4248046875,-100.9033203125,36.5380859375
0.1325072,-140.6201171875,-101.2451171875,35.4638671875
0.1334392,-140.9130859375,-100.9521484375,32.1435546875
0.1343564,-139.8388671875,-100.9033203125,30.4833984375
0.1352846,-137.9345703125,-100.7568359375,32.4853515625
0.1362183,-136.5185546875,-99.9267578125,34.4384765625
0.1371649,-134.9072265625,-99.9267578125,35.7080078125
0.1381572,-134.9072265625,-100.1220703125,35.6591796875
0.1390904,-134.4677734375,-99.2431640625,33.5595703125
0.140297,-134.1748046875,-99.1455078125,31.2646484375
0.1415316,-134.1259765625,-98.7548828125,28.0908203125
0.1426779,-133.5400390625,-98.9013671875,25.2099609375
0.1438708,-133.5888671875,-98.6572265625,21.5478515625
0.145225,-133.4423828125,-98.7548828125,19.4482421875
0.1464369,-133.3935546875,-98.7548828125,16.4697265625
0.1476253,-132.5634765625,-98.8525390625,14.7607421875
0.148873,-132.9541015625,-99.3408203125,12.9541015625
0.150044,-132.9541015625,-99.6337890625,10.8056640625
0.1510538,-133.3447265625,-99.6337890625,8.1689453125
0.1520443,-133.7353515625,-99.9755859375,5.4345703125
0.153101,-133.9306640625,-99.7802734375,2.3095703125
0.1540551,-134.0771484375,-100.1220703125,-1.2060546875
0.154989,-134.4677734375,-100.3173828125,-5.4052734375
0.1560078,-133.8818359375,-100.8544921875,-9.0673828125
0.1571693,-134.0771484375,-100.9521484375,-11.7529296875
0.1583112,-134.9560546875,-101.2451171875,-15.7080078125
0.1594543,-134.7119140625,-101.4892578125,-17.8076171875
0.1605904,-135.5419921875,-102.3681640625,-20.1513671875
0.1617355,-135.6396484375,-102.2216796875,-22.3974609375
0.1628963,-136.0302734375,-102.6123046875,-25.0830078125
0.1640951,-135.8349609375,-103.0029296875,-28.6962890625
0.1653207,-136.4697265625,-103.1982421875,-32.2119140625
0.1665327,-136.7138671875,-103.8818359375,-32.8955078125
0.1675878,-137.1533203125,-104.2724609375,-6.4306640625
0.1685483,-137.7392578125,-104.0283203125,23.7939453125
0.1694987,-137.7880859375,-102.5634765625,38.1982421875
0.1704472,-138.2275390625,-100.9521484375,42.8857421875
0.1713668,-138.6181640625,-99.8779296875,41.4697265625
0.1722952,-138.6181640625,-99.4873046875,38.0517578125
0.1732243,-138.9599609375,-99.0966796875,36.1962890625
0.1741555,-139.7412109375,-98.0224609375,35.1708984375
0.1750846,-139.8876953125,-97.2900390625,31.7529296875
0.1760331,-139.7900390625,-97.5830078125,27.8466796875
0.176963,-137.5927734375,-97.2900390625,26.5771484375
0.1778934,-135.4931640625,-96.7529296875,28.1396484375
0.1788299,-133.9794921875,-96.1181640625,29.6044921875
0.1797542,-132.9541015625,-96.6064453125,29.3603515625
0.1806808,-132.7099609375,-96.0693359375,27.5537109375
0.1816116,-132.2216796875,-95.7275390625,24.4287109375
0.1825428,-132.1728515625,-96.4111328125,20.2294921875
