Timestamp,PPG_Forehead,PPG_Earlobe,PPG_Finger
0.00309289999999995,1.1865234375,0.185546875,-22.8271484375
0.0335993000000001,1.1865234375,0.185546875,0.185546875
0.0352838000000002,1.1865234375,0.185546875,0.185546875
0.0381714999999998,1.1865234375,0.185546875,0.185546875
0.0423800000000001,1.1865234375,0.185546875,0.185546875
0.0443272000000001,1.1865234375,0.185546875,0.185546875
0.0460455,1.1865234375,86.2158203125,0.185546875
0.0503548,1.1865234375,-35.7861328125,82.5537109375
0.0515477999999998,1.1865234375,-36.5185546875,-13.1591796875
0.0545955,1.1865234375,-37.4462890625,-15.8935546875
0.0575109,1.1865234375,-39.6923828125,-19.2626953125
0.0603766000000001,1.1865234375,-39.9853515625,-21.8994140625
0.0632682,1.1865234375,-41.4501953125,-24.3896484375
0.0662219999999998,1.1865234375,-43.1103515625,-27.4169921875
0.0703171,1.1865234375,-44.0380859375,-30.2490234375
0.0712837999999998,1.1865234375,-45.4541015625,-33.5693359375
0.0759935999999999,1.1865234375,-46.4306640625,-35.8642578125
0.0768534999999999,1.1865234375,-46.3330078125,-39.0380859375
0.0777898000000001,1.1865234375,-46.6748046875,-41.3330078125
0.0786243,1.1865234375,-44.5263671875,-36.3525390625
0.0836513999999999,1.1865234375,-42.5732421875,-26.1474609375
0.0847373,1.1865234375,-41.2060546875,-14.5263671875
0.0858048999999999,1.1865234375,-38.6181640625,-3.9306640625
0.0893107,1.1865234375,-35.9326171875,4.6142578125
0.0924518000000001,1.1865234375,-34.5166015625,11.9873046875
0.0952928000000002,1.1865234375,-33.3935546875,17.1142578125
0.0981448,1.1865234375,-32.9541015625,19.0185546875
0.1010356,1.1865234375,-32.2216796875,16.5283203125
0.1039917,1.1865234375,-31.8798828125,13.2568359375
0.1069256,1.1865234375,-31.8310546875,12.0361328125
0.1099213,1.1865234375,-32.9541015625,9.8388671875
0.1128736,1.1865234375,-33.1005859375,8.4228515625
0.115797,1.1865234375,-33.5888671875,5.3955078125
0.118796,1.1865234375,-33.4423828125,3.1494140625
0.1217807,1.1865234375,-34.0283203125,-0.8056640625
0.1247407,1.1865234375,-34.2724609375,-3.3447265625
0.127792,1.1865234375,-34.6142578125,-6.6162109375
0.130723,1.1865234375,-35.6884765625,-10.0341796875
0.1336767,1.1865234375,-36.9580078125,-12.9150390625
0.13653,1.1865234375,-36.9091796875,-15.9912109375
0.1396919,1.1865234375,-37.1533203125,-19.5068359375
0.14263,1.1865234375,-38.3740234375,-22.6806640625
0.1457237,1.1865234375,-38.9111328125,-25.1708984375
0.1486197,1.1865234375,-39.5458984375,-28.1005859375
0.1516288,1.1865234375,-40.0341796875,-31.4697265625
0.1546628,1.1865234375,-40.7666015625,-34.5458984375
0.1576101,1.1865234375,-41.3037109375,-37.6220703125
0.1606272,1.1865234375,-40.1318359375,-38.5009765625
0.163575,1.1865234375,-38.8134765625,-34.0576171875
0.1665967,1.1865234375,-37.0068359375,-23.2666015625
0.16966,1.1865234375,-35.8349609375,-11.2060546875
0.172558,1.1865234375,-34.2724609375,-1.1474609375
0.175568,1.1865234375,-32.7099609375,7.3486328125
0.1784715,1.1865234375,-32.4658203125,14.0869140625
0.1815075,1.1865234375,-31.5869140625,17.5537109375
0.1845007,1.1865234375,-30.6103515625,16.0888671875
0.1876162,1.1865234375,-30.4150390625,13.1103515625
0.190501,1.1865234375,-30.4638671875,10.6689453125
0.1934683,1.1865234375,-30.8056640625,7.2998046875
0.1962077,1.1865234375,-30.7080078125,5.7861328125
0.198539,99.7900390625,-31.1962890625,2.9541015625
0.1989969,-96.3134765625,-31.7822265625,-0.1220703125
0.1993228,-94.2138671875,-32.0751953125,-3.2958984375
0.1996431,-92.9443359375,-32.0263671875,-7.1044921875
0.1999681,-93.7744140625,-32.5634765625,-10.5712890625
